order_no,order_qty,ind_price,sales,order_date,status,quarter,month,year,product_type,product_code,cust_nm,country,order_size
10056,25,95.34,2383.5,41391,Shipped,2,4,2013,Bikes,2016,AUS Toys Co.,Australia,Small
10057,26,100,2600,41457,Shipped,3,7,2013,Bikes,2016,TBN Toys,France,Medium
10058,35,98,3430,41510,Shipped,3,8,2013,Bikes,2016,ABC Corp,USA,Medium
10059,34,97,3298,41554,Shipped,4,10,2013,Bikes,2016,Mind Games,USA,Medium
10060,23,100,2300,41573,Shipped,4,10,2013,Bikes,2016,Techno Toys,USA,Small
10061,41,100,4100,41590,Shipped,4,11,2013,Bikes,2016,Qualy Toys,France,Large
10062,36,94.34,3396.24,41595,Disputed,4,11,2013,Bikes,2016,HFT Gifts,Norway,Medium
10063,21,97,2037,41606,Shipped,4,11,2013,Bikes,2016,Wonder Toys,USA,Small
10064,19,100,1900,41649,Shipped,1,1,2014,Bikes,2016,Osaka Souveniers Co.,Japan,Small
10065,46,100,4600,41691,Shipped,1,2,2014,Bikes,2016,AUS Toys Co.,Australia,Large
10066,20,98,1960,41731,Shipped,2,4,2014,Bikes,2016,Motor Mint Distributors Inc.,USA,Small
10067,41,97,3977,41774,In Process,2,5,2014,Bikes,2016,Tikini Inc.,USA,Large
10068,36,100,3600,41816,Shipped,2,6,2014,Bikes,2016,Giftware Inc ,USA,Medium
10069,21,100,2100,41844,Shipped,3,7,2014,Bikes,2016,RGS Gifts,France,Small
10070,45,98,4410,41877,Shipped,3,8,2014,Bikes,2016,Marat Toys,USA,Large
10071,36,93.34,3360.24,41906,Shipped,3,9,2014,Bikes,2016,Atelier graphique,France,Medium
10072,30,100,3000,41925,Shipped,4,10,2014,Bikes,2016,Mini Classics,USA,Medium
10073,44,100,4400,41946,In Process,4,11,2014,Bikes,2016,DCCS Inc.,USA,Large
10074,18,98,1764,41957,Shipped,4,11,2013,Bikes,2016,Toysworld,USA,Small
10075,37,65.92,2439.04,41963,Shipped,4,11,2014,Bikes,2016,NA,Japan,Medium
10076,22,50.15,1103.3,41988,Shipped,4,12,2014,Bikes,2016,Fast Toys Co.,Australia,Small
10077,38,100,3800,42038,Shipped,1,2,2015,Bikes,2016,"Australian Gift Network, Co",Australia,Medium
10078,48,42.51,2040.48,42065,Shipped,1,3,2015,Bikes,2016,FunGift Corp.,USA,Large
10079,42,97,4074,42098,Shipped,2,4,2015,Bikes,2016,ACN ,France,Large
10080,41,100,4100,42135,Disputed,2,5,2015,Bikes,2016,Euro Shopping Channel,Spain,Large
10081,26,100,2600,41330,Shipped,1,2,2013,Bikes,4698,Toysworld,USA,Medium
10082,44,98,4312,41392,Shipped,2,4,2013,Bikes,4698,AUS Toys Co.,Australia,Large
10083,28,97,2716,41453,Shipped,2,6,2013,Bikes,4698,TBN Toys,France,Medium
10084,29,100,2900,41509,Shipped,3,8,2013,Bikes,4698,NA,USA,Medium
10085,21,100,2100,41558,Shipped,4,10,2013,Bikes,4698,Mind Games,USA,Small
10086,18,98,1764,41574,Shipped,4,10,2013,Bikes,4698,Techno Toys,USA,Small
10087,38,97,3686,41586,Shipped,4,11,2013,Bikes,4698,Qualy Toys,France,Medium
10088,41,100,4100,41594,Shipped,4,11,2013,Bikes,4698,HFT Gifts,Norway,Large
10089,48,100,4800,41610,Disputed,4,12,2013,Bikes,4698,Wonder Toys,USA,Large
10090,32,98,3136,41650,Shipped,1,1,2014,Bikes,4698,Osaka Souveniers Co.,Japan,Medium
10091,46,97,4462,41687,Shipped,1,2,2014,Bikes,4698,AUS Toys Co.,Australia,Large
10092,35,100,3500,41732,Shipped,2,4,2014,Bikes,4698,Micro Games Inc,USA,Medium
10093,42,100,4200,41778,Shipped,2,5,2014,Bikes,4698,Tikini Inc.,USA,Large
10094,39,98,3822,41817,In Process,2,6,2014,Bikes,4698,Giftware Inc ,USA,Medium
10095,33,97,3201,41840,Shipped,3,7,2014,Bikes,4698,RGS Gifts,France,Medium
10096,23,100,2300,41876,Shipped,3,8,2014,Bikes,4698,Marat Toys,USA,Small
10097,28,100,2800,41913,Shipped,4,10,2014,Bikes,4698,FIN Corp.,Finland,Medium
10098,18,98,1764,41926,Shipped,4,10,2014,Bikes,4698,Mini Classics,USA,Small
10099,34,97,3298,41942,Shipped,4,10,2014,Bikes,4698,DCCS Inc.,USA,Medium
10100,22,100,2200,41956,In Process,4,11,2014,Bikes,4698,Toysworld,USA,Small
10101,38,75.67,2875.46,41967,Shipped,4,11,2014,Bikes,4698,"Tokyo Collectables, Ltd",Japan,Medium
10102,20,98,1960,42008,Shipped,1,1,2015,Classic Cars,4698,Techno Toys,USA,Small
10103,19,97,1843,42034,Shipped,1,1,2015,Bikes,4698,"Australian Gift Network, Co",Australia,Small
10104,17,85.77,1458.09,42064,Shipped,1,3,2015,Bikes,4698,FunGift Corp.,USA,Small
10105,65,100,6500,42103,Shipped,2,4,2015,Classic Cars,4698,UK Toys Ltd.,UK,Large
10106,54,98,5292,42136,Shipped,2,5,2013,Bikes,4698,Euro Shopping Channel,Spain,Large
10107,47,97,4559,41313,Disputed,1,2,2013,Cars,4757,Danish Wholesale Imports,Denmark,Large
10108,42,100,4200,41390,Shipped,2,4,2013,Cars,4757,SSD Collectables,Austria,Large
10109,32,100,3200,41438,Shipped,2,6,2013,Cars,4757,"Stylish Desk Decors, Co.",UK,Medium
10110,47,98,4606,41495,Shipped,3,8,2013,Cars,4757,Mini Creations Ltd.,USA,Large
10111,29,97,2813,41550,Shipped,4,10,2013,Cars,4757,FIN Corp.,Finland,Medium
10112,40,100,4000,41568,Shipped,4,10,2013,Cars,4757,Scandinavian Gift Ideas,Sweden,Medium
10113,23,82.049,2300,41587,Shipped,4,11,2013,Cars,4757,Alpha Cognac,France,Small
10114,24,98,2352,41591,Shipped,4,11,2013,Cars,4757,"Double Decker Gift Stores, Ltd",UK,Small
10115,42,97,4074,41601,Shipped,4,11,2013,Cars,4757,Enaco Distributors,Spain,Large
10116,35,100,3500,41646,Disputed,1,1,2014,Cars,4757,Superz Retailers,USA,Medium
10117,48,100,4800,41690,Shipped,1,2,2014,Cars,4757,Collectable Mini Designs Co.,USA,Large
10118,18,98,1764,41765,Shipped,2,5,2014,Cars,4757,Toysworld,USA,Small
10119,32,97,2328,41804,Shipped,2,6,2014,Cars,4757,Quebec Home Shopping Network,Canada,Small
10120,26,100,2600,41839,Shipped,3,7,2014,Cars,4757,Petit Auto,Belgium,Medium
10121,24,100,2400,41872,In Process,3,8,2014,Cars,4757,"Royal Canadian Collectables, Ltd.",Canada,Small
10122,22,98,2156,41891,Shipped,3,9,2014,Cars,4757,Gifts4AllAges.com,USA,Small
10123,19,97,1843,41923,Shipped,4,10,2014,Cars,4757,"Classic Gift Ideas, Inc",USA,Small
10124,29,100,2900,41942,Shipped,4,10,2014,Cars,4757,giftsbymail.co.uk,UK,Medium
10125,46,63.93,2940.78,41949,Shipped,4,11,2014,Cars,4757,Baani Imports,Norway,Large
10126,23,46.05,1059.15,41963,Shipped,4,11,2014,Cars,4757,Classic Legends Inc.,USA,Small
10127,23,72.47,1666.81,41972,In Process,4,11,2014,Cars,4757,Euro Shopping Channel,Spain,Small
10128,44,53.68,2361.92,41986,Shipped,4,12,2014,Cars,4757,Super Toys,France,Large
10129,38,100,3800,42036,Shipped,1,2,2015,Cars,4757,"Oulu Toy Supplies, Inc.",Finland,Medium
10130,32,98,3136,42057,Shipped,1,2,2015,Cars,4757,Mind Games,USA,Medium
10131,29,97,2813,42077,Shipped,1,3,2015,Cars,4757,TBN Toys,France,Medium
10132,60,100,6000,42093,Shipped,na,3,2015,Cars,4757,The Sharp Gifts Warehouse,USA,Large
10133,18,100,1800,42131,Shipped,2,5,2015,Cars,4757,Gifts4AllAges.com,USA,Small
10134,40,98,3920,41302,Disputed,1,1,2013,Cars,4962,Baani Imports,Norway,Medium
10135,28,97,2716,41362,Shipped,1,3,2013,Cars,4962,"La Corne D'abondance, Co.",France,Medium
10136,18,100,1800,41420,Shipped,2,5,2013,Cars,4962,"Corrida Auto Replicas, Ltd",Spain,Small
10137,25,100,2500,41480,Shipped,NA,7,2013,Cars,4962,Techno Toys,USA,Small
10138,18,98,1764,41535,Shipped,3,9,2013,Cars,4962,"Dragon Souveniers, Ltd.",Singapore,Small
10139,18,97,1746,41565,Shipped,4,10,2013,Cars,4962,Mini Auto Werke,Austria,Small
10140,29,82.049,2900,41582,Shipped,4,11,2013,Cars,4962,"Stylish Desk Decors, Co.",UK,Medium
10141,27,100,2700,41592,Shipped,4,11,2013,Cars,4962,"Classic Gift Ideas, Inc",USA,Medium
10142,24,98,2352,41602,Shipped,4,11,2013,Cars,4962,"Saveley & Henriot, Co.",France,Small
10143,28,97,2716,41614,Disputed,NA,12,2013,Cars,4962,Diecast Collectables,USA,Medium
10144,44,100,4400,41672,Shipped,1,2,2014,Cars,4962,Handji Gifts& Co,Singapore,Large
10145,49,100,4900,41710,Shipped,1,3,2014,Cars,4962,Mini Gifts Distributors Ltd.,USA,Large
10146,26,98,2548,41762,Shipped,2,5,2014,Cars,4962,Super Scale Inc.,USA,Medium
10147,23,97,2231,41802,Shipped,2,6,2014,Cars,4962,Handji Gifts& Co,Singapore,Small
10148,32,100,2800,41837,In Process,3,7,2014,Cars,4962,Fast Toys Co.,Australia,Medium
10149,43,100,4300,41871,Shipped,3,8,2014,Cars,4962,DCCS Inc.,USA,Large
10150,28,98,2744,41889,Shipped,3,9,2014,Cars,4962,Scandinavian Gift Ideas,Sweden,Medium
10151,35,97,3395,41922,Shipped,4,10,2014,Cars,4962,Marat Toys,USA,Medium
10152,36,100,3600,41932,Shipped,4,10,2014,Cars,4962,Canadian Gift Exchange Network,Canada,Medium
10153,45,60.99,2744.55,41948,Shipped,4,11,2014,Cars,4962,Online Diecast Creations Co.,USA,Large
10154,24,98,2352,41961,In Process,4,11,2014,Cars,4962,"Model Replicas, Co",Sweden,Small
10155,24,97,2328,41969,Shipped,4,11,2014,Cars,4962,AUS Toys Co.,Australia,Small
10156,39,100,3900,41981,Shipped,4,5,2014,Cars,4962,Mini Gifts Distributors Ltd.,USA,Medium
10157,34,64.63,2197.42,42025,Shipped,1,1,2015,Cars,4962,"Anna's Decorations, Ltd",Australia,Medium
10158,35,98,3430,42051,Shipped,1,2,2015,Cars,4962,Mind Games,USA,Medium
10159,34,43.9,1492.6,42069,Shipped,1,3,2015,Cars,4962,"Anna's Decorations, Ltd",Australia,Medium
10160,23,100,2300,42123,Shipped,2,4,2015,Cars,4757,Quebec Home Shopping Network,Canada,Small
10161,37,100,3700,42156,Disputed,2,6,2015,Cars,4962,RGS Gifts,France,Medium
10162,31,98,3038,41335,Shipped,1,3,2013,Cars,S12_1099,Cruz & Sons Co.,Philippines,Medium
10163,39,97,3783,41399,Shipped,2,5,2013,Cars,S12_1099,Marseille Mini Autos,France,Medium
10164,38,100,3800,41455,Shipped,2,6,2013,Cars,S12_1099,Mini Gifts Distributors Ltd.,USA,Medium
10165,47,100,4700,41523,Shipped,3,9,2013,Cars,S12_1099,Collectables For Less Inc.,USA,Small
10166,39,98,3822,41556,Shipped,4,10,2013,Cars,S12_1099,Mind Games,USA,Medium
10167,27,97,2619,41579,Shipped,4,11,2013,Cars,S12_1099,"Anna's Decorations, Ltd",Australia,Medium
10168,23,100,2300,41588,Shipped,4,11,2013,Cars,S12_1099,HFT Gifts,Norway,Small
10169,20,100,2000,41599,Shipped,4,11,2013,Cars,S12_1099,"Toms Spezialitten, Ltd",Germany,Small
10170,18,98,1764,41609,Disputed,4,12,2013,Cars,S12_1099,Euro Shopping Channel,Spain,Small
10171,38,82.049,3686,41651,Shipped,1,1,2014,Cars,S12_1099,ACN ,France,Medium
10172,23,100,2300,41690,Shipped,1,2,2014,Cars,S12_1099,"Vida Sport, Ltd",Switzerland,Small
10173,27,100,2700,41739,Shipped,2,4,2014,Cars,S12_1099,Danish Wholesale Imports,Denmark,Medium
10174,22,98,2675.04,41790,Shipped,2,5,2014,Cars,S12_1099,UK Toys Ltd.,UK,Small
10175,41,97,3977,41823,In Process,3,7,2014,Cars,S12_1099,L'ordine Souveniers,Italy,Large
10176,46,100,4600,41851,Shipped,3,7,2014,Cars,S12_1099,Online Mini Collectables,USA,Large
10177,20,100,2000,41882,Shipped,3,8,2014,Cars,S12_1099,"Vida Sport, Ltd",Switzerland,Small
10178,31,98,3038,41550,Shipped,4,10,2013,Cars,S12_1099,"Blauer See Auto, Co.",NA,Medium
10179,30,97,2910,41925,Shipped,4,10,2014,Cars,S12_1099,"Toms Spezialitten, Ltd",Germany,Medium
10180,27,100,2700,41944,Shipped,4,11,2014,Cars,S12_1099,NA,Sweden,Medium
10181,40,70.47,2818.8,41959,In Process,4,11,2014,Cars,S12_1099,Toysworld,USA,Medium
10182,43,77.65,3338.95,41966,Shipped,4,11,2014,Cars,S12_1099,SSD Collectables,Austria,Large
10183,30,82.39,2471.7,42007,Shipped,1,1,2015,Cars,S12_1099,Suominen Souveniers,Finland,Medium
10184,41,75,3075,42036,Shipped,1,2,2015,Cars,S12_1099,RGS Gifts,France,Large
10185,25,98.04,2451,42067,Shipped,1,3,2015,Cars,S12_1099,Scandinavian Gift Ideas,Sweden,Small
10186,10,98,2675.04,42140,Shipped,2,5,2015,Cars,S12_1099,SSD Collectables,Austria,Small
10187,38,97,3686,41313,Shipped,1,2,2013,Cars,S12_1108,Danish Wholesale Imports,Denmark,Medium
10188,29,100,2900,41378,Disputed,2,4,2013,Cars,S12_1108,"Dragon Souveniers, Ltd.",Singapore,Medium
10189,45,100,4500,41429,Shipped,2,6,2013,Cars,S12_1108,Muscle Machine Inc,NA,Large
10190,31,98,3038,41493,Shipped,3,8,2013,Cars,S12_1108,Mini Gifts Distributors Ltd.,USA,Medium
10191,17,97,1649,41542,Shipped,3,9,2013,Cars,S12_1108,Euro Shopping Channel,Spain,Small
10192,40,100,4000,41567,Shipped,4,10,2013,Cars,S12_1108,"Dragon Souveniers, Ltd.",Singapore,Medium
10193,32,100,3200,41567,Shipped,4,11,2013,Cars,S12_1108,L'ordine Souveniers,Italy,Medium
10194,19,98,1862,41591,Shipped,4,11,2013,Cars,S12_1108,Mini Creations Ltd.,USA,Small
10195,44,97,4268,41601,Shipped,4,11,2013,Cars,S12_1108,Super Scale Inc.,USA,Large
10196,42,100,4200,41639,Shipped,4,12,2014,Cars,S12_1108,"Saveley & Henriot, Co.",France,Large
10197,31,100,3100,41683,Disputed,1,2,2014,Cars,S12_1108,"Clover Collections, Co.",Ireland,Medium
10198,40,98,3920,41716,Shipped,1,3,2014,Cars,S12_1108,CAF Imports,Spain,Medium
10199,41,97,3977,41761,Shipped,2,5,2014,Cars,S12_1108,Suominen Souveniers,Finland,Large
10200,31,100,3100,41838,Shipped,3,7,2014,Cars,S12_1108,DCCS Inc.,USA,Medium
10201,40,100,4000,41872,Shipped,3,8,2014,Cars,S12_1108,Mini Gifts Distributors Ltd.,USA,Medium
10202,44,98,4312,41890,In Process,3,9,2014,Classic Cars,S12_1108,Amica Models & Co.,Italy,Large
10203,28,97,2716,41923,Shipped,4,10,2014,Cars,S12_1108,"AV Stores, Co.",UK,Medium
10204,34,100,3400,41932,Shipped,4,10,2014,Cars,S12_1108,Heintze Collectables,Denmark,Medium
10205,41,63,2583,41949,Shipped,4,11,2014,Cars,S12_1108,Baani Imports,Norway,Large
10206,31,55.22,1711.82,41962,Shipped,4,11,2014,Cars,S12_1108,"La Corne D'abondance, Co.",France,Medium
10207,45,49.36,2221.2,41941,Shipped,4,10,2014,Cars,S12_1108,"Corrida Auto Replicas, Ltd",Spain,Large
10208,38,100,3800,41986,In Process,4,12,2014,Cars,S12_1108,Super Toys,France,Medium
10209,31,100,3100,42028,Shipped,1,1,2015,Cars,S12_1108,Mini Gifts Distributors Ltd.,USA,Medium
10210,32,98,3136,42051,Shipped,1,2,2015,Cars,S12_1108,Mini Gifts Distributors Ltd.,USA,Medium
10211,30,66.12,1983.6,42077,Shipped,1,3,2015,Cars,S12_1108,TBN Toys,France,Medium
10212,32,100,3200,42127,Shipped,2,5,2015,Cars,S12_1108,Giftware Inc ,USA,Medium
10213,26,100,2600,41304,Shipped,1,1,2013,Classic Cars,S12_1666,na,Norway,Medium
10214,19,98,1862,41358,Shipped,1,3,2013,Buses,S12_1666,Mini Gifts Distributors Ltd.,USA,Small
10215,18,97,1746,41419,Disputed,2,5,2013,Buses,S12_1666,"Corrida Auto Replicas, Ltd",Spain,Small
10216,34,100,3400,41477,Shipped,3,7,2013,Buses,S12_1666,Techno Toys,USA,Medium
10217,29,100,2900,41537,Shipped,3,9,2013,Buses,S12_1666,"Dragon Souveniers, Ltd.",Singapore,Small
10218,47,98,4606,41567,Shipped,4,10,2013,Buses,S12_1666,Mini Auto Werke,Austria,Large
10219,40,97,3880,41581,Shipped,4,11,2013,Buses,S12_1666,"Australian Gift Network, Co",Australia,Medium
10220,37,100,3700,41589,Shipped,4,5,2013,Buses,S12_1666,"Classic Gift Ideas, Inc",USA,Medium
10221,37,100,3700,41604,Shipped,4,11,2013,Buses,S12_1666,"Saveley & Henriot, Co.",France,Medium
10222,26,98,2548,41612,Shipped,4,12,2013,Buses,S12_1666,Canadian Gift Exchange Network,Canada,Medium
10223,40,97,3880,41669,Shipped,NA,1,2014,Buses,S12_1666,Auto Assoc. & Cie.,France,Medium
10224,21,100,2100,41707,Disputed,1,3,2014,Buses,S12_1666,Mini Gifts Distributors Ltd.,USA,Small
10225,37,100,3700,41707,Shipped,2,5,2014,Buses,S12_1666,Super Scale Inc.,USA,Medium
10226,39,98,3822,41804,Shipped,2,6,2014,Buses,S12_1666,"Tokyo Collectables, Ltd",Japan,Medium
10227,25,97,2425,41836,Shipped,3,7,2014,Buses,S12_1666,Fast Toys Co.,Australia,Small
10228,21,100,2100,41868,Shipped,3,8,2014,Buses,S12_1666,DCCS Inc.,USA,Small
10229,40,100,4000,41891,In Process,3,9,2014,Buses,S12_1666,Scandinavian Gift Ideas,Sweden,Medium
10230,37,98,3626,41922,Shipped,4,10,2014,Buses,S12_1666,Auto Assoc. & Cie.,France,Medium
10231,18,97,1746,41931,Shipped,4,10,2014,Buses,S12_1666,Canadian Gift Exchange Network,Canada,Small
10232,23,100,2300,41945,Shipped,4,11,2014,Buses,S12_1666,Online Diecast Creations Co.,USA,Small
10233,32,98.21,3142.72,41962,Shipped,4,11,2014,Buses,S12_1666,Wonder Toys,USA,Medium
10234,27,98,2646,41971,Shipped,4,11,2014,Buses,S12_1666,AUS Toys Co.,Australia,Medium
10235,46,97,4462,41980,In Process,4,12,2014,Buses,S12_1666,Mini Gifts Distributors Ltd.,USA,Large
10236,45,100,4500,42022,Shipped,1,1,2015,Buses,S12_1666,"Anna's Decorations, Ltd",Australia,Large
10237,19,100,1900,42053,Shipped,1,2,2013,Buses,S12_1666,Mind Games,USA,Small
10238,37,61.2,2264.4,42071,Shipped,1,3,2015,Buses,S12_1666,"Anna's Decorations, Ltd",Australia,Medium
10239,37,97,3589,42122,Shipped,2,4,2015,Buses,S12_1666,Quebec Home Shopping Network,Canada,Medium
10240,45,100,4500,42153,Shipped,2,5,2015,Buses,S12_1666,Euro Shopping Channel,Spain,Large
10241,20,100,2000,41330,Shipped,1,2,2013,Bikes,S12_2823,Toysworld,USA,Small
10242,48,98,4704,41400,Disputed,2,5,2013,Bikes,S12_2823,Super Toys,France,Large
10243,17,97,1649,41453,Shipped,2,6,2013,Bikes,S12_2823,TBN Toys,France,Small
10244,45,100,4500,41509,Shipped,3,8,2013,Bikes,S12_2823,ABC Corp,USA,Large
10245,37,100,3700,41558,Shipped,4,10,2013,Bikes,S12_2823,Mind Games,USA,Medium
10246,33,98,3234,41581,Shipped,4,11,2013,Bikes,S12_2823,"Anna's Decorations, Ltd",Australia,Medium
10247,37,97,3589,41586,Shipped,4,11,2013,Bikes,S12_2823,Qualy Toys,France,Small
10248,24,100,2400,41594,Shipped,4,11,2013,Bikes,S12_2823,ABC Corp,USA,Small
10249,24,100,2400,41610,Shipped,4,12,2013,Bikes,S12_2823,Wonder Toys,USA,Small
10250,34,98,3332,41653,Shipped,1,1,2014,Bikes,S12_2823,ACN ,France,Medium
10251,40,97,3880,41688,Disputed,1,2,2014,Bikes,S12_2823,Qualy Toys,France,Medium
10252,28,100,2800,41732,Shipped,2,4,2014,Bikes,S12_2823,Micro Games Inc,USA,Medium
10253,45,100,4500,41778,Shipped,2,5,2013,Classic Cars,S12_2823,Tikini Inc.,USA,Large
10254,46,98,4508,41817,Shipped,2,6,2014,Bikes,S12_2823,Giftware Inc ,USA,Large
10255,40,97,3880,41850,Shipped,3,7,2014,Bikes,S12_2823,Online Mini Collectables,USA,Medium
10256,45,100,4500,41850,In Process,3,8,2014,Bikes,S12_2823,NA,USA,Large
10257,23,100,2300,41913,Shipped,4,10,2014,Bikes,S12_2823,NA,Finland,Small
10258,24,98,2352,41926,Shipped,4,10,2014,Bikes,S12_2823,Baani Imports,Norway,Small
10259,27,97,2619,41943,Shipped,4,10,2014,Bikes,S12_2823,Microscale Inc.,USA,Medium
10260,20,100,2000,41956,Shipped,4,11,2014,Bikes,S12_2823,Toysworld,USA,Small
10261,54,100,5400,41968,Shipped,4,11,2014,Bikes,S12_2823,SSD Collectables,Austria,Large
10262,20,98,1960,42008,In Process,1,1,2015,Bikes,S12_2823,Techno Toys,USA,Small
10263,46,75.92,3492.32,42035,Shipped,1,1,2015,Bikes,S12_2823,RGS Gifts,France,Large
10264,40,100,4000,42064,Shipped,1,3,2015,Bikes,S12_2823,FunGift Corp.,USA,Medium
10265,65,100,6500,42103,Shipped,2,4,2015,Bikes,S12_2823,UK Toys Ltd.,UK,Large
10266,19,98,1862,42103,Shipped,2,5,2015,Bikes,S12_2823,Euro Shopping Channel,Spain,Small
10267,31,97,3007,41302,Shipped,1,1,2013,Cars,S12_3148,Euro Shopping Channel,Spain,Medium
10268,39,100,3900,41302,Shipped,2,4,2013,Cars,S12_3148,"Dragon Souveniers, Ltd.",Singapore,Medium
10269,45,100,4500,41302,Disputed,2,6,2013,Cars,S12_3148,Muscle Machine Inc,USA,Large
